               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.018493,             0.01432,           0.0067741,             0.79635,             0.87149,             0.87373,             0.70224,            0.013879,           0.0091573,           0.0097375,            0.008317,            0.008317,            0.008317
                  87,            0.018205,            0.014421,           0.0065809,             0.81952,             0.81185,             0.89708,             0.71714,            0.015311,           0.0091335,             0.01613,           0.0082972,           0.0082972,           0.0082972
                  88,            0.018487,            0.013493,           0.0054122,             0.85527,               0.925,             0.91133,             0.71875,            0.014164,           0.0082105,           0.0080251,           0.0082774,           0.0082774,           0.0082774
                  89,            0.018716,            0.014044,           0.0064435,             0.88241,              0.8538,             0.89186,             0.70002,            0.014716,           0.0085476,            0.010203,           0.0082576,           0.0082576,           0.0082576
                  90,            0.019202,            0.014414,           0.0061313,              0.8537,             0.89162,             0.89998,             0.68424,            0.015419,           0.0095786,            0.011659,           0.0082378,           0.0082378,           0.0082378
                  91,            0.018997,            0.013856,           0.0068814,             0.90043,             0.80997,             0.86042,             0.69589,            0.014204,            0.008486,            0.012947,            0.008218,            0.008218,            0.008218
                  92,            0.018271,            0.014404,           0.0071251,             0.86133,             0.82751,             0.84648,              0.6989,            0.013596,           0.0088744,            0.015171,           0.0081982,           0.0081982,           0.0081982
                  93,            0.017782,            0.013484,           0.0061541,             0.90528,             0.84742,             0.87804,             0.73597,            0.012852,           0.0081186,            0.014954,           0.0081784,           0.0081784,           0.0081784
                  94,            0.016741,            0.013691,           0.0059861,             0.87597,              0.8848,             0.87958,             0.73129,            0.013593,           0.0084515,            0.013048,           0.0081586,           0.0081586,           0.0081586
                  95,            0.017125,            0.013318,           0.0059036,             0.87499,             0.86798,             0.87866,             0.71004,            0.013982,           0.0086144,            0.011362,           0.0081388,           0.0081388,           0.0081388
                  96,            0.018168,             0.01395,           0.0066747,             0.89337,             0.85795,             0.90513,             0.73457,            0.014742,           0.0084351,            0.012565,            0.008119,            0.008119,            0.008119
                  97,            0.017683,            0.013693,           0.0063965,             0.81403,             0.87495,             0.88779,             0.71403,             0.01408,            0.008463,             0.01376,           0.0080992,           0.0080992,           0.0080992
                  98,            0.018152,            0.013506,           0.0056941,             0.93289,             0.85979,             0.90202,             0.70931,            0.015245,           0.0090793,            0.010113,           0.0080794,           0.0080794,           0.0080794
                  99,            0.018351,             0.01372,           0.0056709,             0.89062,              0.8758,             0.88422,             0.72293,             0.01375,           0.0099105,            0.010962,           0.0080596,           0.0080596,           0.0080596
                 100,            0.018597,            0.013825,           0.0062769,             0.86565,             0.86637,              0.9012,             0.70618,            0.013741,           0.0079324,           0.0095942,           0.0080398,           0.0080398,           0.0080398
                 101,             0.01741,            0.013402,            0.005902,             0.86675,             0.86383,              0.8966,             0.74692,            0.013272,           0.0078364,            0.009261,             0.00802,             0.00802,             0.00802
                 102,            0.016987,            0.013907,           0.0054225,             0.91253,             0.83216,             0.89866,             0.72978,            0.013316,           0.0082861,            0.012696,           0.0080002,           0.0080002,           0.0080002
                 103,            0.016617,            0.012863,           0.0047107,             0.90557,              0.8464,             0.89143,             0.69084,            0.014013,           0.0088406,            0.012179,           0.0079804,           0.0079804,           0.0079804
                 104,             0.01719,            0.013506,           0.0062176,             0.84656,             0.82168,              0.8887,              0.7217,             0.01415,           0.0081355,           0.0099874,           0.0079606,           0.0079606,           0.0079606
                 105,            0.016813,            0.012737,           0.0062988,              0.8475,             0.88887,             0.90196,             0.73959,            0.013516,           0.0079629,            0.010284,           0.0079408,           0.0079408,           0.0079408
                 106,            0.016997,            0.013861,            0.005981,             0.86289,             0.88303,             0.88862,             0.71645,            0.013806,           0.0085828,            0.012015,            0.007921,            0.007921,            0.007921
